"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"562 800 zł","Mieszkanie Zygmunta Augusta Osiedle Europejskie","2 pokoje","46.9 m²","2 piętro","Felin","2017","tak"
"499 900 zł","Atrakcyjne Mieszkanie Blisko Centrum Lublina","3 pokoje","46.57 m²","1 piętro","Bronowice","brak informacji","nie"
"425 000 zł","3-pokojowe mieszkanie na sprzedaż - ul. Okrzei 10","3 pokoje","50.9 m²","6 piętro","Kalinowszczyzna","1969","tak"
"624 730 zł","Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 50","3 pokoje","57.34 m²","2 piętro","Czechów Północny","brak informacji","tak"
"820 000 zł","Mieszkanie 3 pok. + Parking, Cena do negocjacji","3 pokoje","85.82 m²","3 piętro","Sławin","2000","nie"
"615 000 zł","3-pokoje na Czechowie - gotowe do zamieszkania","3 pokoje","58 m²","5 piętro","Czechów Południowy","1978","tak"
"395 000 zł","Tylko u nas, 2 Pokoje Czuby","2 pokoje","35.9 m²","2 piętro","Czuby Północne","1976","tak"
"689 980 zł","Mieszkanie, 52 m², Lublin","3 pokoje","52 m²","4 piętro","Ponikwoda","2026","nie"
"563 506 zł","Mieszkanie, 41 m², Lublin","2 pokoje","41 m²","1 piętro","Ponikwoda","2026","nie"
"520 000 zł","Mieszkanie, 47,90 m², Lublin","3 pokoje","47.9 m²","parter","Rury","1975","nie"
"813 625 zł","Na sprzedaż – mieszkanie 3-pokojowe, ul. Kręta 5","3 pokoje","65.09 m²","2 piętro","Kośminek","2024","tak"
"649 000 zł","Przestrzenne 72,5m2 mieszkanie na LSM","3 pokoje","72.5 m²","2 piętro","Rury","1983","nie"
"439 000 zł","Mieszkanie_dwa pokoje__nowe_parking podziemny.","2 pokoje","40 m²","5 piętro","Wrotków","2024","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 2-pok. | C_45","2 pokoje","32.33 m²","1 piętro","Ponikwoda","2026","tak"
"549 000 zł","Idealne dla rodziny, 3 pokoje i odrębna kuchnia","3 pokoje","60.5 m²","3 piętro","Bronowice","1993","nie"
"Zapytaj o cenę","Mieszkanie M3, 46.23mkw, 2 pokoje+aneks","2 pokoje","46.23 m²","parter","Kalinowszczyzna","2024","tak"
"390 000 zł","Sprzedam 3-pokojowe mieszkanie Lwowska 12 - 0%","3 pokoje","47.05 m²","3 piętro","Kalinowszczyzna","brak informacji","nie"
"305 000 zł","*** Bronowice, 37 Mkw, 2 Pokoje","2 pokoje","37.06 m²","9 piętro","Kośminek","1974","tak"
